God's Plan,Drake
SAD!,XXXTENTACION
rockstar (feat. 21 Savage),Post Malone
Psycho (feat. Ty Dolla $ign),Post Malone
In My Feelings,Drake
Better Now,Post Malone
I Like It,Cardi B
One Kiss (with Dua Lipa),Calvin Harris
IDGAF,Dua Lipa
FRIENDS,Marshmello
Havana,Camila Cabello
Lucid Dreams,Juice WRLD
Nice For What,Drake
Girls Like You (feat. Cardi B),Maroon 5
The Middle,Zedd
All The Stars (with SZA),Kendrick Lamar
no tears left to cry,Ariana Grande
X,Nicky Jam
Moonlight,XXXTENTACION
Look Alive (feat. Drake),BlocBoy JB
"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental
Te Bot? - Remix,Nio Garcia
Mine,Bazzi
Youngblood,5 Seconds of Summer
New Rules,Dua Lipa
Shape of You,Ed Sheeran
Love Lies (with Normani),Khalid
Meant to Be (feat. Florida Georgia Line),Bebe Rexha
Jocelyn Flores,XXXTENTACION
Perfect,Ed Sheeran
Taste (feat. Offset),Tyga
Solo (feat. Demi Lovato),Clean Bandit
I Fall Apart,Post Malone
Nevermind,Dennis Lloyd
?chame La Culpa,Luis Fonsi
Eastside (with Halsey & Khalid),benny blanco
Never Be the Same,Camila Cabello
Wolves,Selena Gomez
changes,XXXTENTACION
In My Mind,Dynoro
River (feat. Ed Sheeran),Eminem
Dura,Daddy Yankee
SICKO MODE,Travis Scott
Thunder,Imagine Dragons
Me Niego,Reik
Jackie Chan,Ti?sto
Finesse (Remix) [feat. Cardi B],Bruno Mars
Back To You - From 13 Reasons Why ? Season 2 Soundtrack,Selena Gomez
Let You Down,NF
Call Out My Name,The Weeknd
Ric Flair Drip (& Metro Boomin),Offset
Happier,Marshmello
Too Good At Goodbyes,Sam Smith
Freaky Friday (feat. Chris Brown),Lil Dicky
Believer,Imagine Dragons
FEFE (feat. Nicki Minaj & Murda Beatz),6ix9ine
Rise,Jonas Blue
Body (feat. brando),Loud Luxury
XO TOUR Llif3,Lil Uzi Vert
Sin Pijama,Becky G
2002,Anne-Marie
Nonstop,Drake
Fuck Love (feat. Trippie Redd),XXXTENTACION
In My Blood,Shawn Mendes
Silence,Marshmello
God is a woman,Ariana Grande
D?jala que vuelva (feat. Manuel Turizo),Piso 21
Flames,David Guetta
What Lovers Do,Maroon 5
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake
"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld
Feel It Still,Portugal. The Man
Pray For Me (with Kendrick Lamar),The Weeknd
Walk It Talk It,Migos
Him & I (with Halsey),G-Eazy
Candy Paint,Post Malone
Congratulations,Post Malone
"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",Sofia Reyes
Criminal,Natti Natasha
Plug Walk,Rich The Kid
lovely (with Khalid),Billie Eilish
Stir Fry,Migos
HUMBLE.,Kendrick Lamar
Vaina Loca,Ozuna
Perfect Duet (Ed Sheeran & Beyonc?),Ed Sheeran
Coraz?n (feat. Nego do Borel),Maluma
Young Dumb & Broke,Khalid
S?guelo Bailando,Ozuna
Downtown,Anitta
Bella,Wolfine
Promises (with Sam Smith),Calvin Harris
Yes Indeed,Lil Baby
I Like Me Better,Lauv
This Is Me,Keala Settle
Everybody Dies In Their Nightmares,XXXTENTACION
Rewrite The Stars,Zac Efron
I Miss You (feat. Julia Michaels),Clean Bandit
No Brainer,DJ Khaled
Dusk Till Dawn - Radio Edit,ZAYN
Be Alright,Dean Lewis
